Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.386282E+03,0.000000E+00,7.153655E-02,0.000000E+00,1.629870E+03,0.000000E+00,8.410672E-02,0.000000E+00,1.826091E+03,0.000000E+00,9.423249E-02,0.000000E+00,1.624876E+03,0.000000E+00,8.384901E-02,0.000000E+00,5.241355E+03,0.000000E+00,2.704311E-01,0.000000E+00
00:30:00,1.459777E+03,0.000000E+00,7.532750E-02,0.000000E+00,1.699897E+03,0.000000E+00,8.771860E-02,0.000000E+00,1.896660E+03,0.000000E+00,9.787220E-02,0.000000E+00,1.694783E+03,0.000000E+00,8.745464E-02,0.000000E+00,5.463712E+03,0.000000E+00,2.818932E-01,0.000000E+00
00:45:00,1.532535E+03,0.000000E+00,7.908043E-02,0.000000E+00,1.769207E+03,0.000000E+00,9.129348E-02,0.000000E+00,1.966469E+03,0.000000E+00,1.014727E-01,0.000000E+00,1.763997E+03,0.000000E+00,9.102453E-02,0.000000E+00,5.679204E+03,0.000000E+00,2.930010E-01,0.000000E+00
01:00:00,1.604525E+03,0.000000E+00,8.279365E-02,0.000000E+00,1.837776E+03,0.000000E+00,9.483007E-02,0.000000E+00,2.035492E+03,0.000000E+00,1.050325E-01,0.000000E+00,1.832488E+03,0.000000E+00,9.455712E-02,0.000000E+00,5.887815E+03,0.000000E+00,3.037534E-01,0.000000E+00
01:15:00,1.630430E+03,0.000000E+00,8.413022E-02,0.000000E+00,1.861497E+03,0.000000E+00,9.605393E-02,0.000000E+00,2.058698E+03,0.000000E+00,1.062298E-01,0.000000E+00,1.856238E+03,0.000000E+00,9.578247E-02,0.000000E+00,5.932543E+03,0.000000E+00,3.060593E-01,0.000000E+00
01:30:00,1.656463E+03,0.000000E+00,8.547322E-02,0.000000E+00,1.885355E+03,0.000000E+00,9.728464E-02,0.000000E+00,2.082027E+03,0.000000E+00,1.074332E-01,0.000000E+00,1.880151E+03,0.000000E+00,9.701604E-02,0.000000E+00,5.977370E+03,0.000000E+00,3.083690E-01,0.000000E+00
01:45:00,1.682605E+03,0.000000E+00,8.682175E-02,0.000000E+00,1.909334E+03,0.000000E+00,9.852155E-02,0.000000E+00,2.105464E+03,0.000000E+00,1.086421E-01,0.000000E+00,1.904209E+03,0.000000E+00,9.825704E-02,0.000000E+00,6.022320E+03,0.000000E+00,3.106854E-01,0.000000E+00
02:00:00,1.708831E+03,0.000000E+00,8.817465E-02,0.000000E+00,1.933414E+03,0.000000E+00,9.976372E-02,0.000000E+00,2.128990E+03,0.000000E+00,1.098556E-01,0.000000E+00,1.928389E+03,0.000000E+00,9.950435E-02,0.000000E+00,6.067383E+03,0.000000E+00,3.130081E-01,0.000000E+00
02:15:00,1.735179E+03,0.000000E+00,8.953392E-02,0.000000E+00,1.957623E+03,0.000000E+00,1.010126E-01,0.000000E+00,2.152646E+03,0.000000E+00,1.110760E-01,0.000000E+00,1.952721E+03,0.000000E+00,1.007596E-01,0.000000E+00,6.112533E+03,0.000000E+00,3.153359E-01,0.000000E+00
02:30:00,1.761628E+03,0.000000E+00,9.089846E-02,0.000000E+00,1.981943E+03,0.000000E+00,1.022674E-01,0.000000E+00,2.176415E+03,0.000000E+00,1.123022E-01,0.000000E+00,1.977185E+03,0.000000E+00,1.020217E-01,0.000000E+00,6.157761E+03,0.000000E+00,3.176684E-01,0.000000E+00
02:45:00,1.788156E+03,0.000000E+00,9.226713E-02,0.000000E+00,2.006356E+03,0.000000E+00,1.035269E-01,0.000000E+00,2.200279E+03,0.000000E+00,1.135335E-01,0.000000E+00,2.001760E+03,0.000000E+00,1.032897E-01,0.000000E+00,6.203049E+03,0.000000E+00,3.200040E-01,0.000000E+00
03:00:00,1.814745E+03,0.000000E+00,9.363894E-02,0.000000E+00,2.030847E+03,0.000000E+00,1.047905E-01,0.000000E+00,2.224223E+03,0.000000E+00,1.147688E-01,0.000000E+00,2.026431E+03,0.000000E+00,1.045625E-01,0.000000E+00,6.248394E+03,0.000000E+00,3.223425E-01,0.000000E+00
03:15:00,1.841344E+03,0.000000E+00,9.501130E-02,0.000000E+00,2.055374E+03,0.000000E+00,1.060560E-01,0.000000E+00,2.248200E+03,0.000000E+00,1.160059E-01,0.000000E+00,2.051151E+03,0.000000E+00,1.058380E-01,0.000000E+00,6.293775E+03,0.000000E+00,3.246830E-01,0.000000E+00
