Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.262521E+03,0.000000E+00,1.167565E-01,0.000000E+00,2.733924E+03,0.000000E+00,1.410832E-01,0.000000E+00,2.942403E+03,0.000000E+00,1.518416E-01,0.000000E+00,2.670690E+03,0.000000E+00,1.378200E-01,0.000000E+00,7.101359E+03,0.000000E+00,3.664352E-01,0.000000E+00
00:30:00,2.387776E+03,0.000000E+00,1.232180E-01,0.000000E+00,2.853688E+03,0.000000E+00,1.472611E-01,0.000000E+00,3.058280E+03,0.000000E+00,1.578187E-01,0.000000E+00,2.790769E+03,0.000000E+00,1.440142E-01,0.000000E+00,7.393215E+03,0.000000E+00,3.814855E-01,0.000000E+00
00:45:00,2.512102E+03,0.000000E+00,1.296316E-01,0.000000E+00,2.972569E+03,0.000000E+00,1.533934E-01,0.000000E+00,3.173278E+03,0.000000E+00,1.637504E-01,0.000000E+00,2.909986E+03,0.000000E+00,1.501639E-01,0.000000E+00,7.679638E+03,0.000000E+00,3.962554E-01,0.000000E+00
01:00:00,2.635425E+03,0.000000E+00,1.359934E-01,0.000000E+00,3.090502E+03,0.000000E+00,1.594767E-01,0.000000E+00,3.287326E+03,0.000000E+00,1.696330E-01,0.000000E+00,3.028272E+03,0.000000E+00,1.562655E-01,0.000000E+00,7.960565E+03,0.000000E+00,4.107413E-01,0.000000E+00
01:15:00,2.684514E+03,0.000000E+00,1.385264E-01,0.000000E+00,3.134771E+03,0.000000E+00,1.617609E-01,0.000000E+00,3.328793E+03,0.000000E+00,1.717726E-01,0.000000E+00,3.073257E+03,0.000000E+00,1.585866E-01,0.000000E+00,8.042472E+03,0.000000E+00,4.149662E-01,0.000000E+00
01:30:00,2.733433E+03,0.000000E+00,1.410503E-01,0.000000E+00,3.178945E+03,0.000000E+00,1.640400E-01,0.000000E+00,3.370156E+03,0.000000E+00,1.739065E-01,0.000000E+00,3.118165E+03,0.000000E+00,1.609036E-01,0.000000E+00,8.124721E+03,0.000000E+00,4.192075E-01,0.000000E+00
01:45:00,2.782153E+03,0.000000E+00,1.435639E-01,0.000000E+00,3.223002E+03,0.000000E+00,1.663129E-01,0.000000E+00,3.411334E+03,0.000000E+00,1.760306E-01,0.000000E+00,3.162972E+03,0.000000E+00,1.632152E-01,0.000000E+00,8.207284E+03,0.000000E+00,4.234651E-01,0.000000E+00
02:00:00,2.830635E+03,0.000000E+00,1.460652E-01,0.000000E+00,3.266912E+03,0.000000E+00,1.685782E-01,0.000000E+00,3.452380E+03,0.000000E+00,1.781479E-01,0.000000E+00,3.207646E+03,0.000000E+00,1.655200E-01,0.000000E+00,8.290102E+03,0.000000E+00,4.277362E-01,0.000000E+00
02:15:00,2.879052E+03,0.000000E+00,1.485632E-01,0.000000E+00,3.310862E+03,0.000000E+00,1.708456E-01,0.000000E+00,3.493498E+03,0.000000E+00,1.802691E-01,0.000000E+00,3.252370E+03,0.000000E+00,1.678274E-01,0.000000E+00,8.373099E+03,0.000000E+00,4.320171E-01,0.000000E+00
02:30:00,2.927375E+03,0.000000E+00,1.510564E-01,0.000000E+00,3.354830E+03,0.000000E+00,1.731141E-01,0.000000E+00,3.534702E+03,0.000000E+00,1.823948E-01,0.000000E+00,3.297121E+03,0.000000E+00,1.701363E-01,0.000000E+00,8.456224E+03,0.000000E+00,4.363052E-01,0.000000E+00
02:45:00,2.975569E+03,0.000000E+00,1.535430E-01,0.000000E+00,3.398793E+03,0.000000E+00,1.753825E-01,0.000000E+00,3.576049E+03,0.000000E+00,1.845282E-01,0.000000E+00,3.341876E+03,0.000000E+00,1.724455E-01,0.000000E+00,8.539423E+03,0.000000E+00,4.405972E-01,0.000000E+00
03:00:00,3.023595E+03,0.000000E+00,1.560210E-01,0.000000E+00,3.442730E+03,0.000000E+00,1.776495E-01,0.000000E+00,3.617458E+03,0.000000E+00,1.866649E-01,0.000000E+00,3.386616E+03,0.000000E+00,1.747539E-01,0.000000E+00,8.622662E+03,0.000000E+00,4.448913E-01,0.000000E+00
03:15:00,3.071298E+03,0.000000E+00,1.584822E-01,0.000000E+00,3.486512E+03,0.000000E+00,1.799084E-01,0.000000E+00,3.658806E+03,0.000000E+00,1.887984E-01,0.000000E+00,3.431211E+03,0.000000E+00,1.770549E-01,0.000000E+00,8.705901E+03,0.000000E+00,4.491855E-01,0.000000E+00
03:30:00,3.118574E+03,0.000000E+00,1.609215E-01,0.000000E+00,3.530113E+03,0.000000E+00,1.821581E-01,0.000000E+00,3.700081E+03,0.000000E+00,1.909282E-01,0.000000E+00,3.475645E+03,0.000000E+00,1.793476E-01,0.000000E+00,8.789127E+03,0.000000E+00,4.534789E-01,0.000000E+00
03:45:00,3.165545E+03,0.000000E+00,1.633449E-01,0.000000E+00,3.573497E+03,0.000000E+00,1.843964E-01,0.000000E+00,3.741275E+03,0.000000E+00,1.930537E-01,0.000000E+00,3.519906E+03,0.000000E+00,1.816312E-01,0.000000E+00,8.872326E+03,0.000000E+00,4.577705E-01,0.000000E+00
04:00:00,3.212360E+03,0.000000E+00,1.657601E-01,0.000000E+00,3.616624E+03,0.000000E+00,1.866213E-01,0.000000E+00,3.782387E+03,0.000000E+00,1.951748E-01,0.000000E+00,3.563981E+03,0.000000E+00,1.839051E-01,0.000000E+00,8.955499E+03,0.000000E+00,4.620601E-01,0.000000E+00
