Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.269384E+03,0.000000E+00,1.171107E-01,0.000000E+00,2.742046E+03,0.000000E+00,1.415024E-01,0.000000E+00,2.951221E+03,0.000000E+00,1.522967E-01,0.000000E+00,2.678641E+03,0.000000E+00,1.382304E-01,0.000000E+00,7.130179E+03,0.000000E+00,3.679226E-01,0.000000E+00
00:30:00,2.395010E+03,0.000000E+00,1.235914E-01,0.000000E+00,2.862165E+03,0.000000E+00,1.476986E-01,0.000000E+00,3.067438E+03,0.000000E+00,1.582913E-01,0.000000E+00,2.799076E+03,0.000000E+00,1.444429E-01,0.000000E+00,7.423214E+03,0.000000E+00,3.830337E-01,0.000000E+00
00:45:00,2.519709E+03,0.000000E+00,1.300242E-01,0.000000E+00,2.981402E+03,0.000000E+00,1.538492E-01,0.000000E+00,3.182776E+03,0.000000E+00,1.642406E-01,0.000000E+00,2.918649E+03,0.000000E+00,1.506110E-01,0.000000E+00,7.710839E+03,0.000000E+00,3.978656E-01,0.000000E+00
01:00:00,2.643404E+03,0.000000E+00,1.364052E-01,0.000000E+00,3.099691E+03,0.000000E+00,1.599509E-01,0.000000E+00,3.297163E+03,0.000000E+00,1.701407E-01,0.000000E+00,3.037294E+03,0.000000E+00,1.567311E-01,0.000000E+00,7.992991E+03,0.000000E+00,4.124147E-01,0.000000E+00
01:15:00,2.692668E+03,0.000000E+00,1.389472E-01,0.000000E+00,3.144122E+03,0.000000E+00,1.622435E-01,0.000000E+00,3.338777E+03,0.000000E+00,1.722878E-01,0.000000E+00,3.082442E+03,0.000000E+00,1.590607E-01,0.000000E+00,8.075535E+03,0.000000E+00,4.166725E-01,0.000000E+00
01:30:00,2.741761E+03,0.000000E+00,1.414801E-01,0.000000E+00,3.188456E+03,0.000000E+00,1.645308E-01,0.000000E+00,3.380279E+03,0.000000E+00,1.744288E-01,0.000000E+00,3.127514E+03,0.000000E+00,1.613861E-01,0.000000E+00,8.158425E+03,0.000000E+00,4.209469E-01,0.000000E+00
01:45:00,2.790653E+03,0.000000E+00,1.440026E-01,0.000000E+00,3.232673E+03,0.000000E+00,1.668120E-01,0.000000E+00,3.421602E+03,0.000000E+00,1.765605E-01,0.000000E+00,3.172484E+03,0.000000E+00,1.637061E-01,0.000000E+00,8.241631E+03,0.000000E+00,4.252376E-01,0.000000E+00
02:00:00,2.839305E+03,0.000000E+00,1.465127E-01,0.000000E+00,3.276741E+03,0.000000E+00,1.690855E-01,0.000000E+00,3.462796E+03,0.000000E+00,1.786854E-01,0.000000E+00,3.217319E+03,0.000000E+00,1.660192E-01,0.000000E+00,8.325095E+03,0.000000E+00,4.295421E-01,0.000000E+00
02:15:00,2.887892E+03,0.000000E+00,1.490194E-01,0.000000E+00,3.320848E+03,0.000000E+00,1.713610E-01,0.000000E+00,3.504069E+03,0.000000E+00,1.808146E-01,0.000000E+00,3.262204E+03,0.000000E+00,1.683349E-01,0.000000E+00,8.408739E+03,0.000000E+00,4.338564E-01,0.000000E+00
02:30:00,2.936383E+03,0.000000E+00,1.515213E-01,0.000000E+00,3.364973E+03,0.000000E+00,1.736376E-01,0.000000E+00,3.545439E+03,0.000000E+00,1.829490E-01,0.000000E+00,3.307115E+03,0.000000E+00,1.706521E-01,0.000000E+00,8.492512E+03,0.000000E+00,4.381778E-01,0.000000E+00
02:45:00,2.984742E+03,0.000000E+00,1.540164E-01,0.000000E+00,3.409090E+03,0.000000E+00,1.759139E-01,0.000000E+00,3.586949E+03,0.000000E+00,1.850907E-01,0.000000E+00,3.352030E+03,0.000000E+00,1.729696E-01,0.000000E+00,8.576358E+03,0.000000E+00,4.425033E-01,0.000000E+00
03:00:00,3.032932E+03,0.000000E+00,1.565029E-01,0.000000E+00,3.453181E+03,0.000000E+00,1.781888E-01,0.000000E+00,3.628520E+03,0.000000E+00,1.872358E-01,0.000000E+00,3.396927E+03,0.000000E+00,1.752861E-01,0.000000E+00,8.660243E+03,0.000000E+00,4.468307E-01,0.000000E+00
03:15:00,3.080793E+03,0.000000E+00,1.589723E-01,0.000000E+00,3.497111E+03,0.000000E+00,1.804554E-01,0.000000E+00,3.670030E+03,0.000000E+00,1.893777E-01,0.000000E+00,3.441678E+03,0.000000E+00,1.775951E-01,0.000000E+00,8.744128E+03,0.000000E+00,4.511582E-01,0.000000E+00
